address,group,tx_count,avg_interval,reused_ratio,high_fee
1wv5sYEC9dSdDkfJQam1AQQg7vVCekxAc,other,7,9999,0.05,True
1JBFFHR8tGiMgYLpnZCVG8n4cSpm591urc,other,16,9999,0.13,True
1LjGz2WcECaNpK1ajWcpsPEQFSxrw5DxMM,bitcointumbler,16,9999,0.06,True
1GcdsVzjjARcp12Yyafr2bM9hrFvs2zkhD,other,50,9999,0.56,True
1NPtAjLST5bXdH1Zm5JgKuMVGchhtuBDzX,other,2,9999,0.0,True
18sgALzRxmCS1ksfitG6iAVCaX7omckLyp,other,14,9999,0.54,True
bc1qwpvwry04zur6a8zrny32rm8q9rx5se57yr3xk6,darknetmarket,4,9999,0.33,True
1K8DQbAupiGg95FdU9YVPoM3ANSHZ9EGgT,darknetmarket,34,9999,0.17,True
13NvGpCNkU6J4qCk5RkczmxRVUYkGUTvwX,other,2,9999,0.02,True
13ky7a9AkfYmhtxRuWAQ8fau5QjVAdyFGU,other,7,9999,0.38,True
1PgyTpKQ4AcUGVuSJSq5fLXvLjVeputL1g,bitcointumbler,50,9999,0.05,True
14vXoZDa7rGVQYaFaowKPJN8f25ASWVy5M,other,9,9999,0.05,True
18bSTrufLfuvHwS7JYuF626MBGULSmxTgR,bitcointumbler,4,9999,0.29,True
1L1xSXttdsBAPVjVfyoyCg3RZbdHinT5G5,darknetmarket,50,9999,0.1,True
3Jcd7oMxCMD3LRNtxrzxhZy3e1FD7Y1UiC,bitcointumbler,14,9999,0.12,True
bc1qlpjw0wqeh0d26f5wt0wvwlzcsvm22g0mlmg86k,other,5,9999,0.02,True
1H9bS7Zb6LEANLkM8yiF8EsoGEtMEeLFvC,other,50,9999,0.12,True
33foqBrpcDQbrEzWmco3L9GtYphNVmHs6y,other,2,9999,0.0,True
bc1qrxeecc52dfktp4qw32fpfmgwzn99udk3chr7va,other,10,9999,0.38,True
14GHLvKaXSNtDTkshZi5j8uUo3mFtJ52FN,other,2,9999,0.0,True
1CMBC1Mj86GHmbwzcMMP8xUe1hQTwk4Ds7,bitcointumbler,14,9999,0.08,True
1Md6imvB2neTF3s1kFiMG473k1XrBhxQhF,other,2,9999,0.0,True
14LYbckmC9gKJ6LR1JAWaKSsCojZfURbzH,bitcointumbler,2,9999,0.0,True
142UiD6VggiN4mnwnAiTKMxxFe1HScj2d7,other,3,9999,0.25,True
3Mb6n68Yoock4VTJbkAuDMD8CaLroETqZg,other,2,9999,0.0,True
15Z4Y1q5QufvFPvRBKhwVhQyFTLwEQ5f4J,other,9,9999,0.06,True
18HaRyfMr1WwuZcmyCjyAHDchDDzmnwYyo,other,4,9999,0.03,True
1AnfPgvraCpYXQNSJJLSqAbLssgN53ew4A,bitcointumbler,7,9999,0.02,True
1GGZpqXsqKWSRnjJ1SHFaE5VPkMHHsKToX,bitcointumbler,27,9999,0.03,True
1L15W6b9vkxV81xW5HDtmMBycrdiettHEL,other,50,9999,0.87,True
18VGyKycVH1KAcEwVan2kt2uSZAqCc99Jr,bitcointumbler,2,9999,0.0,True
1MWGJJ29hPzLubSDtzQ4nKWuhfaLnyWSUr,other,8,9999,0.19,True
1KxKELgWwMFEaQeaQr8sS2MRFfDHDdgmkL,other,2,9999,0.0,True
14DacnxAWvYTgd3uDaR3CFC1AipLmRtjr7,other,5,9999,0.27,True
1GtdpkxN7izueE1696LQUSRB72Mh71BeNh,other,6,9999,0.12,True
