address,group,tx_count,avg_interval,reused_ratio,high_fee
3JSYBfTap5aCo3iHyUunp8hWZcyCp5V2MJ,sextortion,2,9999,0.0,True
bc1q5tvvnwzhd96ep299vfcarq0vrkuudqu8wtpyny,other,8,9999,0.23,True
15AKuZPGMkdrpTGJwb87tnaqSyp91JSeeB,bitcointumbler,2,9999,0.0,True
1KoubBYwBpnaJ32yNG6Vydbi4k7MPxAJh4,other,2,9999,0.0,True
17sgjEQ4WPdKgK1nEnwvFsWGqEDpLtA1Pu,sextortion,8,9999,0.01,True
1EyAadxvFqjvG9swUeexQLFhTvdV6jBTbi,sextortion,9,9999,0.09,True
1KeCBKUgQDyyMpaXhfpRi2qUvyrjcsT44o,sextortion,9,9999,0.41,True
1Hct3uL3RfhiFmjMQ1uMDzx7SzK2KBnKUM,sextortion,50,9999,0.84,True
16wQWFeuMqysaaSSUMEyj3DXfccWHZQts9,bitcointumbler,25,9999,0.04,True
14s4i1WRPQ4BdwGtt38oumwdebKdvVdUfG,ransomware,9,9999,0.04,True
15Z4Y1q5QufvFPvRBKhwVhQyFTLwEQ5f4J,ransomware,9,9999,0.06,True
1M9guEeTFVRnHcMrajzP8FvpTu1SQohkT6,blackmailscam,9,9999,0.29,True
15ZHnf1MPn6ybb8yUeAoCQ1AJtiKhg3NrP,sextortion,24,9999,0.17,True
1HMsu3Dg3ocegPN2psqQtnsgZESeHVuxmN,sextortion,10,9999,0.17,True
1GxgoBst63XWHjN4EfBPo9AGiaANDvEuzF,blackmailscam,12,9999,0.09,True
1FH4HU6xhQnCbzYosP2N5HAa5aPJd7XxYZ,sextortion,2,9999,0.0,True
1L4xeix6RJrMUwNBZA9YSgfCZmHgPuN5pe,blackmailscam,7,9999,0.12,True
1DzM9y4fRgWqpZZCsvf5Rx4HupbE5Q5r4y,ransomware,20,9999,0.27,True
bc1q33luwl3dqxfq09lxy4lnmdvrddm3hmycxz3ysz,blackmailscam,50,9999,0.04,True
bc1q8al4y793rmadln5j6h2cgut77rtvhm26evscjl,other,50,9999,0.06,True
1Eo9FKmAkNg8UAR4xj6F15Y53phFutzSys,darknetmarket,9,9999,0.34,True
1GXazHVQUdJEtpe62UFozFibPa8ToDoUn3,bitcointumbler,25,9999,0.27,True
12vuAcRSYDWuGHEVNVtQaEjBCBevps3ZcE,bitcointumbler,4,9999,0.02,True
1666666vT5Y5bPXPAk4jWqJ9Gr26SLFq8P,bitcointumbler,19,9999,0.1,True
1JGyVtTS385t5PM9kjECrPPjXDqVG2yK17,bitcointumbler,50,9999,0.49,True
bc1qwpvwry04zur6a8zrny32rm8q9rx5se57yr3xk6,darknetmarket,4,9999,0.33,True
1K8DQbAupiGg95FdU9YVPoM3ANSHZ9EGgT,darknetmarket,34,9999,0.17,True
1L1xSXttdsBAPVjVfyoyCg3RZbdHinT5G5,darknetmarket,50,9999,0.1,True
148kJV8ngZK9ZLUjDhg3kfnVQRa7DJFu9Z,darknetmarket,6,9999,0.21,True
14F5H6zgQq39njYJWPLWznsEpJSTtUWAHk,darknetmarket,6,9999,0.03,True
bc1quwslwd26qse35st9nlx2h2vmqvxjvuz9x96p9e,darknetmarket,5,9999,0.62,True
