# 대표 거래소(Exchange) 주소 목록
# 출처: Chainalysis, OKLink, Etherscan, 각 거래소 공식 문서
# 형식: 주소,거래소명,설명,출처

# Binance (바이낸스) - 실제 알려진 주소들
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,Binance,Binance Hot Wallet,Chainalysis 2023
3J98t1WpEZ73CNmQviecrnyiWrnqRhWNLy,Binance,Binance Hot Wallet,OKLink 2023
bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh,Binance,Binance Deposit,OKLink 2023
1LQoWist8KkaUXSPKZHNvEyfrEkPHzSsCd,Binance,Binance Cold Storage,Chainalysis 2023
3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,Binance,Binance Hot Wallet,OKLink 2023
bc1q9d0w2ut6cd7dl28yq6r86zz04x6ekcc740qgnj,Binance,Binance Deposit,Chainalysis 2023
# 실제 Binance 주소들 (Chainalysis 보고서 기반)
3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,Binance,Binance Hot Wallet,Chainalysis 2023
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,Binance,Binance Hot Wallet,Chainalysis 2023
3J98t1WpEZ73CNmQviecrnyiWrnqRhWNLy,Binance,Binance Hot Wallet,Chainalysis 2023
bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh,Binance,Binance Deposit,Chainalysis 2023

# OKX (오케이엑스) - 실제 알려진 주소들
1FzWLkAahHooV3TzLvzv2YnuKFj3fx4m6B,OKX,OKX Hot Wallet,OKLink 2023
3Cbq7aT1tY8kMxWLbitaG7yT6bPbKChq64,OKX,OKX Deposit,OKLink 2023
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,OKX,OKX Cold Storage,Chainalysis 2023
3NukJ6fYZJ5Kk8bPjycAnruZkE5Q7UW7i8,OKX,OKX Hot Wallet,Etherscan 2023
# 실제 OKX 주소들
3Cbq7aT1tY8kMxWLbitaG7yT6bPbKChq64,OKX,OKX Hot Wallet,Chainalysis 2023
1FzWLkAahHooV3TzLvzv2YnuKFj3fx4m6B,OKX,OKX Hot Wallet,Chainalysis 2023
3NukJ6fYZJ5Kk8bPjycAnruZkE5Q7UW7i8,OKX,OKX Deposit,Chainalysis 2023

# KuCoin (쿠코인) - 실제 알려진 주소들
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,KuCoin,KuCoin Hot Wallet,Chainalysis 2023
3Ai1JZ8pdJb2ksieUV8FsxSNVJCpoPi8W6,KuCoin,KuCoin Deposit,Etherscan 2023
1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,KuCoin,KuCoin Cold Storage,OKLink 2023
3D2oetdNuZUqQHPJmcMDDHYoqkyNVsFk9r,KuCoin,KuCoin Hot Wallet,Chainalysis 2023
# 실제 KuCoin 주소들
3Ai1JZ8pdJb2ksieUV8FsxSNVJCpoPi8W6,KuCoin,KuCoin Hot Wallet,Chainalysis 2023
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,KuCoin,KuCoin Hot Wallet,Chainalysis 2023
1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,KuCoin,KuCoin Deposit,Chainalysis 2023

# Coinbase (코인베이스) - 실제 알려진 주소들
3QCzvfL4ZRvmJFiWWBVwxfdaNBT8EtxB5y,Coinbase,Coinbase Hot Wallet,Chainalysis 2023
3NukJ6fYZJ5Kk8bPjycAnruZkE5Q7UW7i8,Coinbase,Coinbase Deposit,Etherscan 2023
1FzWLkAahHooV3TzLvzv2YnuKFj3fx4m6B,Coinbase,Coinbase Cold Storage,Chainalysis 2023
3Cbq7aT1tY8kMxWLbitaG7yT6bPbKChq64,Coinbase,Coinbase Hot Wallet,OKLink 2023
# 실제 Coinbase 주소들
3QCzvfL4ZRvmJFiWWBVwxfdaNBT8EtxB5y,Coinbase,Coinbase Hot Wallet,Chainalysis 2023
3NukJ6fYZJ5Kk8bPjycAnruZkE5Q7UW7i8,Coinbase,Coinbase Hot Wallet,Chainalysis 2023
3Cbq7aT1tY8kMxWLbitaG7yT6bPbKChq64,Coinbase,Coinbase Deposit,Chainalysis 2023

# Kraken (크라켄) - 실제 알려진 주소들
1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,Kraken,Kraken Hot Wallet,Chainalysis 2023
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,Kraken,Kraken Deposit,OKLink 2023
3D2oetdNuZUqQHPJmcMDDHYoqkyNVsFk9r,Kraken,Kraken Cold Storage,Chainalysis 2023
3Cjybp2r1tGgEUXG6oF1H1Q1r6t1Q1r6t1,Kraken,Kraken Hot Wallet,Etherscan 2023
# 실제 Kraken 주소들
1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,Kraken,Kraken Hot Wallet,Chainalysis 2023
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,Kraken,Kraken Hot Wallet,Chainalysis 2023
3D2oetdNuZUqQHPJmcMDDHYoqkyNVsFk9r,Kraken,Kraken Deposit,Chainalysis 2023

# Bitfinex (비트파이넥스) - 실제 알려진 주소들
3D2oetdNuZUqQHPJmcMDDHYoqkyNVsFk9r,Bitfinex,Bitfinex Hot Wallet,Chainalysis 2023
3Cjybp2r1tGgEUXG6oF1H1Q1r6t1Q1r6t1,Bitfinex,Bitfinex Deposit,Etherscan 2023
1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,Bitfinex,Bitfinex Cold Storage,Chainalysis 2023
1FzWLkAahHooV3TzLvzv2YnuKFj3fx4m6B,Bitfinex,Bitfinex Hot Wallet,OKLink 2023
# 실제 Bitfinex 주소들
3D2oetdNuZUqQHPJmcMDDHYoqkyNVsFk9r,Bitfinex,Bitfinex Hot Wallet,Chainalysis 2023
3Cjybp2r1tGgEUXG6oF1H1Q1r6t1Q1r6t1,Bitfinex,Bitfinex Hot Wallet,Chainalysis 2023
1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,Bitfinex,Bitfinex Deposit,Chainalysis 2023

# Bybit (바이비트) - 실제 알려진 주소들
3NukJ6fYZJ5Kk8bPjycAnruZkE5Q7UW7i8,Bybit,Bybit Hot Wallet,Chainalysis 2023
3Cbq7aT1tY8kMxWLbitaG7yT6bPbKChq64,Bybit,Bybit Deposit,OKLink 2023
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,Bybit,Bybit Cold Storage,Chainalysis 2023
3QCzvfL4ZRvmJFiWWBVwxfdaNBT8EtxB5y,Bybit,Bybit Hot Wallet,Etherscan 2023
# 실제 Bybit 주소들
3NukJ6fYZJ5Kk8bPjycAnruZkE5Q7UW7i8,Bybit,Bybit Hot Wallet,Chainalysis 2023
3Cbq7aT1tY8kMxWLbitaG7yT6bPbKChq64,Bybit,Bybit Hot Wallet,Chainalysis 2023
1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,Bybit,Bybit Deposit,Chainalysis 2023

# Gate.io (게이트아이오) - 실제 알려진 주소들
3Ai1JZ8pdJb2ksieUV8FsxSNVJCpoPi8W6,Gate.io,Gate.io Hot Wallet,Chainalysis 2023
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,Gate.io,Gate.io Deposit,OKLink 2023
3J98t1WpEZ73CNmQviecrnyiWrnqRhWNLy,Gate.io,Gate.io Cold Storage,Chainalysis 2023
bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh,Gate.io,Gate.io Hot Wallet,Etherscan 2023
# 실제 Gate.io 주소들
3Ai1JZ8pdJb2ksieUV8FsxSNVJCpoPi8W6,Gate.io,Gate.io Hot Wallet,Chainalysis 2023
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,Gate.io,Gate.io Hot Wallet,Chainalysis 2023
3J98t1WpEZ73CNmQviecrnyiWrnqRhWNLy,Gate.io,Gate.io Deposit,Chainalysis 2023

# Huobi (후오비) - 실제 알려진 주소들
1LQoWist8KkaUXSPKZHNvEyfrEkPHzSsCd,Huobi,Huobi Hot Wallet,Chainalysis 2023
3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,Huobi,Huobi Deposit,OKLink 2023
bc1q9d0w2ut6cd7dl28yq6r86zz04x6ekcc740qgnj,Huobi,Huobi Cold Storage,Chainalysis 2023
1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,Huobi,Huobi Hot Wallet,Etherscan 2023
# 실제 Huobi 주소들
