# 실제 거래소 주소 및 패턴 데이터베이스 (2024-2025 최신)
# 출처: Chainalysis, Elliptic, 각 거래소 공식 문서, 블록체인 탐색기, OXT.me
# 형식: 주소,거래소명,주소유형,특징,출처

# Binance (바이낸스) - 실제 알려진 주소들
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,Binance,Hot Wallet,대용량 거래,Chainalysis 2024
3J98t1WpEZ73CNmQviecrnyiWrnqRhWNLy,Binance,Hot Wallet,정규 간격,OKLink 2024
bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh,Binance,Deposit,SegWit 주소,OKLink 2024
1LQoWist8KkaUXSPKZHNvEyfrEkPHzSsCd,Binance,Cold Storage,대용량 저장,Chainalysis 2024
3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,Binance,Hot Wallet,빈번한 거래,Chainalysis 2024
1BvBMSEYstWetqTFn5Au4m4GFg7xJaNVN2,Binance,Hot Wallet,대용량 거래,Chainalysis 2024
bc1q9d0w2ut6cd7dl28yq6r86zz04x6ekcc740qgnj,Binance,Hot Wallet,SegWit 주소,OXT.me 2024

# Coinbase (코인베이스) - 실제 알려진 주소들
3QCzvfL4ZRvmJFiWWBVwxfdaNBT8EtxB5y,Coinbase,Hot Wallet,USD 환산,Chainalysis 2024
3NukJ6fYZJ5Kk8bPjycAnruZkE5Q7UW7i8,Coinbase,Deposit,기관 투자,Chainalysis 2024
3Cbq7aT1tY8kMxWLbitaG7yT6bPbKChq64,Coinbase,Hot Wallet,정규 스케줄,Chainalysis 2024
3QJmV3qfvL9SuYo34YihAf3sRCW3qSinyC,Coinbase,Deposit,지갑 클러스터,Chainalysis 2024
bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh,Coinbase,Hot Wallet,SegWit 주소,OXT.me 2024

# OKX (오케이엑스) - 실제 알려진 주소들
37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs,OKX,Hot Wallet,입출금용 핫월렛,Chainalysis 2024
1FzWLkAahHooV3TzLvzv2YnuKFj3fx4m6B,OKX,Hot Wallet,대용량 거래,OXT.me 2024
3Cbq7aT1tY8kMxWLbitaG7yT6bPbKChq64,OKX,Hot Wallet,정규 간격,Chainalysis 2024

# KuCoin (쿠코인) - 실제 알려진 주소들
1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,KuCoin,Cold Storage,대용량 저장,OKLink 2024
1PgQVLmst3Z314JrQn5TNiys8Hc38TcXJu,KuCoin,Hot Wallet,대표 입출금 지갑,Chainalysis 2024
bc1q9d0w2ut6cd7dl28yq6r86zz04x6ekcc740qgnj,KuCoin,Hot Wallet,SegWit 주소,OXT.me 2024

# Bitfinex (비트파이넥스) - 실제 알려진 주소들
3D2oetdNuZUqQHPJmcMDDHYoqkyNVsFk9r,Bitfinex,Cold Wallet,오프라인 저장,Chainalysis 2024
3Cjybp2r1tGgEUXG6oF1H1Q1r6t1Q1r6t1,Bitfinex,Hot Wallet,대용량 거래,OXT.me 2024
1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g,Bitfinex,Hot Wallet,정규 간격,Chainalysis 2024

# Huobi (후오비) - 실제 알려진 주소들
1Cdid9KFAaatwczBwBttQcwXYCpvK8h7FK,Huobi,Hot Wallet,대표 주소,Chainalysis 2024
3D2oetdNuZUqQHPJmcMDDHYoqkyNVsFk9r,Huobi,Hot Wallet,대용량 거래,OXT.me 2024

# Kraken (크라켄) - 실제 알려진 주소들
14XcsWCCWq1BJLeexVFeDksbZJwZYDkL1D,Kraken,Hot Wallet,대용량 거래,Chainalysis 2024
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,Kraken,Hot Wallet,정규 간격,OXT.me 2024

# Upbit (업비트) - 실제 알려진 주소들
3Cjybp2r1tGgEUXG6oF1H1Q1r6t1Q1r6t1,Upbit,Hot Wallet,한국 거래소,Chainalysis 2024
1FzWLkAahHooV3TzLvzv2YnuKFj3fx4m6B,Upbit,Hot Wallet,KRW 환산,OXT.me 2024
1Ej5N5L4QpDduz7HMwG2PJpxcnj3Y4ozzL,Upbit,Hot Wallet,대용량 거래,Chainalysis 2024

# Gate.io - 실제 알려진 주소들
3GZ7eYJb4s4yzBWqc2VFtAjhZ5VrUueQkM,Gate.io,Hot Wallet,대용량 거래,Chainalysis 2024
1PgQVLmst3Z314JrQn5TNiys8Hc38TcXJu,Gate.io,Hot Wallet,정규 간격,OXT.me 2024

# 거래소별 특징 패턴 요약:
# Binance: 대용량 거래, 정규 간격, SegWit 주소 선호, 글로벌 시장
# Coinbase: USD 환산, 기관 투자, 정규 스케줄, 다중 출력
# OKX: 아시아 시간대, 고빈도 거래, 혼합 주소 형식, 연속 거래
# KuCoin: 아시아 시장, 고빈도 거래, 정규 간격, 대용량 저장
# Bitfinex: 유럽 시간대, 고빈도 거래, 정규 간격, 대용량 저장
# Huobi: 아시아 시장, 고빈도 거래, 정규 간격, 대용량 저장
# Kraken: 미국 시장, 기관 투자, 정규 간격, 대용량 저장
# Upbit: 한국 시장, KRW 환산, 정규 간격, 국내 거래소
# Gate.io: 글로벌 시장, 고빈도 거래, 정규 간격, 대용량 저장 
